# name fluence width dm_obs dm_exc_ne2001 dm_exc_ymw16
FRB20181128D 8.356492 1.966080 146.432654 113.532179 121.035843
FRB20181128C 3.940297 14.745599 618.388268 568.882006 576.232693
FRB20181128C 3.940297 14.745599 618.388268 568.882006 576.232693
FRB20181129A 3.502095 2.949120 385.943387 298.795345 304.881871
FRB20181129B 0.517181 1.966080 405.909663 343.283049 342.816477
FRB20181129C 4.184875 5.898240 501.994828 475.566200 477.351997
FRB20181130A 1.499473 1.966080 220.051470 124.076138 128.635046
FRB20181201A 25.026902 124.846076 694.320463 670.263456 672.854999
FRB20181201B 3.280436 4.915200 876.345037 824.923977 830.779158
FRB20181202A 12.478365 7.864320 667.922780 628.937202 636.644792
FRB20181202B 3.778556 3.932160 825.887009 791.902196 799.676909
FRB20181202C 3.186961 7.864321 557.111493 431.138097 396.179054
FRB20181203A 3.071348 1.966080 635.980630 589.100038 597.182985
FRB20181203B 4.717400 3.932160 375.347683 318.254577 320.871992
FRB20181203C 4.022978 11.796481 2444.366285 2406.857104 2414.397419
FRB20181208A 4.166932 4.915200 562.715154 517.425184 523.375679
FRB20181213A 2.691328 3.932160 678.619378 629.966175 635.773669
FRB20181213B 2.515316 1.966080 626.440943 595.823666 604.514475
FRB20181213C 2.023920 3.932160 380.707741 350.277809 358.194674
FRB20181214A 0.514203 1.966080 468.109539 284.623874 207.382656
FRB20181214B 0.974116 2.949120 1120.647440 1078.497178 1089.984992
FRB20181214C 5.250223 5.898240 632.743975 599.242248 608.452653
FRB20181214D 7.179121 18.677760 1177.069514 1150.978309 1157.239944
FRB20181214F 2.440274 8.847360 2105.679440 2065.572831 2073.092329
FRB20181215A 0.932677 2.949120 412.663307 284.297913 235.885261
FRB20181215B 2.913952 1.966080 494.042506 453.394804 461.458098
FRB20181216A 2.200860 1.966080 542.753454 396.115691 347.562483
FRB20181217A 1.957456 2.949120 1177.090225 1107.525212 1108.484728
FRB20181218A 1.843201 7.864320 1874.231586 1726.940557 1645.594124
FRB20181218B 1.757076 3.932160 753.200393 583.529623 477.106317
FRB20181218C 1.770441 4.915200 383.917849 319.618147 322.559158
FRB20181219B 8.366333 3.932160 1951.507271 1914.251575 1922.252231
FRB20181219C 6.414882 5.898240 647.760477 611.283847 620.384973
FRB20181220A 3.246991 0.983040 209.505880 83.604043 87.199011
FRB20181220B 2.020973 1.966080 257.745722 203.972025 207.346232
FRB20181221A 7.295993 3.932160 316.321291 291.835380 292.094646
FRB20181221B 3.810527 1.966080 1394.866773 1335.685284 1337.073103
FRB20181222B 0.532440 1.966080 619.232206 471.087880 408.760387
FRB20181222C 3.084449 3.932160 1104.722056 1058.220651 1065.274480
FRB20181222D 1.230000 15.728640 1417.538401 1386.297760 1394.883027
FRB20181222E 0.638082 2.949120 327.967233 268.153688 268.468524
FRB20181222E 0.638082 2.949120 327.967233 268.153688 268.468524
FRB20181223B 3.700080 10.813440 565.436884 540.117741 545.434938
FRB20181223C 3.015615 1.966080 112.497330 92.524145 93.287720
FRB20181224A 6.673943 1.966080 310.177612 225.067429 231.488259
FRB20181224B 2.744250 7.864320 780.974318 659.261039 639.966871
FRB20181224C 10.516277 44.236801 596.281865 540.876734 543.245831
FRB20181224D 1.385700 3.932160 690.032919 658.725800 667.752216
FRB20181224E 8.082896 2.949120 581.873417 545.281826 549.302468
FRB20181224E 8.082896 2.949120 581.873417 545.281826 549.302468
FRB20181225B 5.990223 3.932160 299.269793 240.943674 242.170574
FRB20181226G 4.355077 4.915200 408.967484 315.014542 322.272618
FRB20181226D 2.731131 1.966080 385.345010 320.289055 306.470113
FRB20181226B 51.368611 5.898240 287.007526 259.100980 266.251329
FRB20181226B 51.368611 5.898240 287.007526 259.100980 266.251329
FRB20181226E 1.170230 1.966080 308.813894 240.087383 237.638648
FRB20181227A 2.030168 1.966080 791.188386 700.849698 677.981356
FRB20181228A 4.857934 1.966080 748.631820 714.368666 722.977095
